idstatefrom,idaction,idstateto,idoutcome,probability,reward
0,0,0,0,1,5
0,0,0,1,1,5
0,0,0,2,1,5
0,0,0,3,1,5
0,0,0,4,1,5
0,0,0,5,1,5
0,0,0,6,1,5
0,0,0,7,1,5
0,0,0,8,1,5
0,0,0,9,1,5
0,0,0,10,1,5
0,0,0,11,1,5
0,0,0,12,1,5
0,0,0,13,1,5
0,0,0,14,1,5
0,0,0,15,1,5
0,0,0,16,1,5
0,0,0,17,1,5
0,0,0,18,1,5
0,0,0,19,1,5
0,0,0,20,1,5
0,0,0,21,1,5
0,0,0,22,1,5
0,0,0,23,1,5
0,0,0,24,1,5
0,0,0,25,1,5
0,0,0,26,1,5
0,0,0,27,1,5
0,0,0,28,1,5
0,0,0,29,1,5
0,0,0,30,1,5
0,0,0,31,1,5
0,0,0,32,1,5
0,0,0,33,1,5
0,0,0,34,1,5
0,0,0,35,1,5
0,0,0,36,1,5
0,0,0,37,1,5
0,0,0,38,1,5
0,0,0,39,1,5
0,0,0,40,1,5
0,0,0,41,1,5
0,0,0,42,1,5
0,0,0,43,1,5
0,0,0,44,1,5
0,0,0,45,1,5
0,0,0,46,1,5
0,0,0,47,1,5
0,0,0,48,1,5
0,0,0,49,1,5
0,0,0,50,1,5
0,0,0,51,1,5
0,0,0,52,1,5
0,0,0,53,1,5
0,0,0,54,1,5
0,0,0,55,1,5
0,0,0,56,1,5
0,0,0,57,1,5
0,0,0,58,1,5
0,0,0,59,1,5
0,0,0,60,1,5
0,0,0,61,1,5
0,0,0,62,1,5
0,0,0,63,1,5
0,0,0,64,1,5
0,0,0,65,1,5
0,0,0,66,1,5
0,0,0,67,1,5
0,0,0,68,1,5
0,0,0,69,1,5
0,0,0,70,1,5
0,0,0,71,1,5
0,0,0,72,1,5
0,0,0,73,1,5
0,0,0,74,1,5
0,0,0,75,1,5
0,0,0,76,1,5
0,0,0,77,1,5
0,0,0,78,1,5
0,0,0,79,1,5
0,0,0,80,1,5
0,0,0,81,1,5
0,0,0,82,1,5
0,0,0,83,1,5
0,0,0,84,1,5
0,0,0,85,1,5
0,0,0,86,1,5
0,0,0,87,1,5
0,0,0,88,1,5
0,0,0,89,1,5
0,0,0,90,1,5
0,0,0,91,1,5
0,0,0,92,1,5
0,0,0,93,1,5
0,0,0,94,1,5
0,0,0,95,1,5
0,0,0,96,1,5
0,0,0,97,1,5
0,0,0,98,1,5
0,0,0,99,1,5
0,1,0,0,0.421657365594869,0
0,1,0,1,0.14375320968819444,0
0,1,0,2,0.37409362973820626,0
0,1,0,3,0.036727858252630946,0
0,1,0,4,0.20388356571859167,0
0,1,0,5,0.27741208784714577,0
0,1,0,6,0.5072356534002816,0
0,1,0,7,0.0766646654065023,0
0,1,0,8,0.37246062518948087,0
0,1,0,9,0.4353073934246042,0
0,1,0,10,0.6856694391507432,0
0,1,0,11,0.31815163616204767,0
0,1,0,12,0.4962662602744349,0
0,1,0,13,0.3124668350561017,0
0,1,0,14,0.4270498513863178,0
0,1,0,15,0.6180490475383044,0
0,1,0,16,0.5716696923002275,0
0,1,0,17,0.27730922862373997,0
0,1,0,18,0.18877220394512373,0
0,1,0,19,0.5143505793206194,0
0,1,0,20,0.48273168323450866,0
0,1,0,21,0.14672152943894998,0
0,1,0,22,0.22520930489417976,0
0,1,0,23,0.3651527412060073,0
0,1,0,24,0.3200009004422661,0
0,1,0,25,0.1294452497227407,0
0,1,0,26,0.33217974557635477,0
0,1,0,27,0.2712200092992696,0
0,1,0,28,0.3896255307424883,0
0,1,0,29,0.30944300468683844,0
0,1,0,30,0.2363123184197784,0
0,1,0,31,0.15033110351729878,0
0,1,0,32,0.16239490377650867,0
0,1,0,33,0.35882725536212573,0
0,1,0,34,0.6889576956324142,0
0,1,0,35,0.5904897895968109,0
0,1,0,36,0.5245293438305985,0
0,1,0,37,0.4910792895841948,0
0,1,0,38,0.7209401822147767,0
0,1,0,39,0.4566614571675178,0
0,1,0,40,0.2585966954582054,0
0,1,0,41,0.7568372483947651,0
0,1,0,42,0.6162718335745869,0
0,1,0,43,0.6429661486105527,0
0,1,0,44,0.321601116804267,0
0,1,0,45,0.37528222385320686,0
0,1,0,46,0.3075155190645818,0
0,1,0,47,0.5369291148992001,0
0,1,0,48,0.5796499913078078,0
0,1,0,49,0.36803429842873814,0
0,1,0,50,0.2813676205454697,0
0,1,0,51,0.4961638695113521,0
0,1,0,52,0.15882397743929533,0
0,1,0,53,0.4324713948278117,0
0,1,0,54,0.38480855491995924,0
0,1,0,55,0.4677433235461372,0
0,1,0,56,0.30001855771817243,0
0,1,0,57,0.21732857162507574,0
0,1,0,58,0.3206234903199594,0
0,1,0,59,0.3427892404230584,0
0,1,0,60,0.21708087053751562,0
0,1,0,61,0.3105911984849619,0
0,1,0,62,0.48631626325389704,0
0,1,0,63,0.3099559396208881,0
0,1,0,64,0.6207388557444729,0
0,1,0,65,0.6098566659104273,0
0,1,0,66,0.2960234992320586,0
0,1,0,67,0.26423739993952244,0
0,1,0,68,0.298904936802204,0
0,1,0,69,0.25134957168808664,0
0,1,0,70,0.15804280541735405,0
0,1,0,71,0.6709684303339055,0
0,1,0,72,0.39566535648308027,0
0,1,0,73,0.43878522113563145,0
